"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"699","DayGroupEarly121",0.120108938921613,0.0864091691165317,178,1.39000224339195,0.166264027043655,"1.2.1.41","Early",0.334471039378303,2.31973687216253,2.37181918312725
"700","DayGroupLate474",-0.322470145264363,0.145725341821504,178,-2.21286250719075,0.0281787689389329,"2.7.1.33","Late",0.336192243281329,3.86437276881054,3.92886447262468
"701","DayGroupEarly447",0.0307087147093692,0.022162486458758,178,1.38561685154393,0.167597608125161,"2.7.1.100","Early",0.336591862984698,0.192035309584773,0.208283147582783
"702","DayGroupEarly506",0.126081974683408,0.0912237154167432,178,1.38211839001973,0.168667274539146,"2.7.2.11","Early",0.338176482229069,2.62500212273488,2.69957775625705
"703","DayGroupLate32",0.0380172691747862,0.017240637353095,178,2.20509650520323,0.0287287311776235,"1.1.1.274","Late",0.339393343814082,0.101536575197911,0.103292480836003
"704","DayGroupEarly170",0.0953753381946899,0.0697857671166991,178,1.36668753723376,0.17344702565882,"1.4.1.1","Early",0.347182169300462,0.741878431283986,0.762332296582955
"705","DayGroupEarly1062",-0.0340896396874105,0.0249527423949799,125,-1.3661680607206,0.17433897556538,"5.1.3.n2","Early",0.348388831768296,0.10970438960739,0.107065484579869
"706","DayGroupEarly470",0.120228021624601,0.088468365077061,178,1.35899450068819,0.175867770986715,"2.7.1.26","Early",0.348553723748342,2.3951992219825,2.41623922469615
"707","DayGroupEarly535",0.120228021624601,0.088468365077061,178,1.35899450068819,0.175867770986715,"2.7.7.2","Early",0.348553723748342,2.3951992219825,2.41623922469615
"708","DayGroupEarly807",0.0446248751543034,0.0327769738084389,163,1.36147026309104,0.17524408781696,"3.5.1.4","Early",0.348553723748342,0.27592852044714,0.272191635158817
"709","DayGroupEarly937",0.177516042649769,0.130576201565668,178,1.35948235988849,0.175713507106039,"4.1.2.4","Early",0.348553723748342,3.09715386855057,3.17197179681979
"710","DayGroupEarly1033",0.127619214726243,0.0937781426971866,178,1.3608631079241,0.175277458303235,"4.4.1.21","Early",0.348553723748342,2.65226463762142,2.71490452654692
"711","DayGroupEarly1104",0.14114657431771,0.103969160394555,178,1.35758116908966,0.176315249471409,"5.4.99.25","Early",0.348866790826022,2.62379451981875,2.67157886639986
"712","DayGroupEarly246",-0.0439034454811163,0.0323932714860458,172,-1.35532607442965,0.177090830389108,"2.1.1.185","Early",0.349826968227664,0.328387431232547,0.308811726496748
"713","DayGroupLate360",-0.14303948660812,0.065781538666998,178,-2.17446246327895,0.0309900013183947,"2.4.1.211","Late",0.352614226223897,1.0538844720598,1.08709977694408
"714","DayGroupLate372",-0.0713781701625789,0.0327709902728846,152,-2.17809012081147,0.0309407712518199,"2.4.1.320","Late",0.352614226223897,0.244902205241112,0.236299611827509
"715","DayGroupLate645",0.262142761159569,0.120787955780435,178,2.17027235427417,0.0313109727850265,"3.1.3.3","Late",0.352614226223897,1.48506354820486,1.46542565028629
"716","DayGroupLate686",0.0840625408683326,0.0385926565479289,142,2.17820042431995,0.0310416642745748,"3.2.1.20","Late",0.352614226223897,0.179355608756636,0.204580017837756
"717","DayGroupLate696",-0.29126067693211,0.134003842944639,178,-2.17352480743734,0.0310615793777765,"3.2.1.37","Late",0.352614226223897,2.05415534334032,1.98882486891161
"718","DayGroupEarly299",0.144402957896389,0.107197872989038,178,1.3470692455918,0.179670347450878,"2.3.1.1","Early",0.353185593276195,2.3696923511941,2.36357921397
"719","DayGroupEarly325",0.144402957896389,0.107197872989038,178,1.3470692455918,0.179670347450878,"2.3.1.35","Early",0.353185593276195,2.3696923511941,2.36357921397
"720","DayGroupEarly1020",-0.0412707206793393,0.0306300165474706,176,-1.34739465828814,0.179585205697115,"4.3.1.7","Early",0.353185593276195,0.258841295703338,0.265788097213376
"721","DayGroupEarly97",0.0812245211623586,0.0604373284772728,176,1.3439462532316,0.180695687452341,"1.15.1.2","Early",0.354046021756214,0.984915046635042,0.965926129801925
