"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"6066","DayGroupEarly58",0.0180218059559059,0.0451533514506615,115,0.399124436545937,0.690541722836508,"K00117","Early",0.968581691678757,0.011234385126503,0.0100953798457247
"6067","DayGroupEarly3404",0.00851857935879776,0.0213777816836752,173,0.398478171629137,0.690769108156772,"K15024","Early",0.968581691678757,0.112653297391265,0.112608557137921
"6068","DayGroupLate2834",0.00612430440983749,0.0153500129578562,98,0.398977149182342,0.690778102507915,"K09705","Late",0.833881623452815,0.0415773339632426,0.0410442098579997
"6069","DayGroupEarly3787",-0.0272700528589888,0.0684602062267667,179,-0.398334366225247,0.690858445936421,"K20460","Early",0.968581691678757,0.511369679075283,0.556055114599495
"6070","DayGroupEarly3646",0.00827967010938658,0.0207604154529899,86,0.398820058689826,0.691014342486466,"K18843","Early",0.968581691678757,0.0486953483988218,0.0473185908667058
"6071","DayGroupLate3251",-0.00449854523588718,0.011293528283355,124,-0.398329478885475,0.691072352540546,"K12957","Late",0.833881623452815,0.0318515605043344,0.0311804842344516
"6072","DayGroupLate1423",0.0126917454973169,0.0318888840166976,173,0.397999048529615,0.69112159112113,"K03311","Late",0.833881623452815,0.0987833993478673,0.11065423165712
"6073","DayGroupEarly2671",0.00610388833226156,0.0153355992886939,134,0.398020854441704,0.69124821925035,"K08194","Early",0.968581691678757,0.0285053212711656,0.032845461670031
"6074","DayGroupEarly2047",0.00768550508757304,0.0192881493490815,87,0.398457360967036,0.691269294934075,"K05873","Early",0.968581691678757,0.0106002238156123,0.0142466713633713
"6075","DayGroupEarly2023",0.0198859961573479,0.0499943700818924,179,0.397764710801917,0.691277589960079,"K05810","Early",0.968581691678757,0.538155398344341,0.516165265939036
"6076","DayGroupLate2760",0.00832427358585785,0.0209274406811836,154,0.397768351738416,0.691351780730779,"K08987","Late",0.833881623452815,0.0782092903564667,0.102351045245574
"6077","DayGroupLate2320",-0.00863039884330554,0.0216699279840278,84,-0.398266152507139,0.691444483203134,"K07026","Late",0.833881623452815,0.0452313597660223,0.0473380519397687
"6078","DayGroupLate1216",0.0121773682332535,0.0306696228280684,179,0.39704982032283,0.691803730800292,"K02769","Late",0.834059577525444,0.305669305310824,0.307585837709473
"6079","DayGroupEarly1147",0.0186477483344659,0.0470234067557608,165,0.396563108056422,0.692202068558384,"K02535","Early",0.968581691678757,0.0833660626620626,0.0932497285249764
"6080","DayGroupEarly2928",0.0185258598112819,0.0466982570154326,126,0.39671416012721,0.692249368827729,"K09923","Early",0.968581691678757,0.154373321531364,0.183212622131776
"6081","DayGroupLate2517",-0.0669651560744757,0.169017646620052,179,-0.396202156482583,0.692427783832727,"K07483","Late",0.834330048339073,0.810736584745793,0.993816787841227
"6082","DayGroupLate1414",0.00719411580441418,0.0181591713853667,179,0.396169828002806,0.692451588342327,"K03299","Late",0.834330048339073,0.198404718289866,0.204891060402794
