"","GeneFamily","RPK","Sample_ID","RPKG"
"140","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",169.7912087044,"GO_Pt23_C2D1",0.0657166577873294
"141","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",274.4995538238,"GO_Pt23_C3D1",0.124718590021088
"142","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",147.630446469,"GO_Pt24_Baseline",0.0476870513608203
"143","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",14.5113004424,"GO_Pt24_Baseline",0.00468738763622403
"144","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",11.8492618493,"GO_Pt24_Baseline",0.0038275055851303
"145","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",5.5096418733,"GO_Pt24_Baseline",0.00177970453436889
"146","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",172.5189166765,"GO_Pt24_C1D1",0.101000677516501
"147","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",50.0113921167,"GO_Pt24_C1D1",0.0292790181195135
"148","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",8.2644628099,"GO_Pt24_C1D1",0.00483840473375477
"149","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",4.5812865409,"GO_Pt24_C1D1",0.00268210033683312
"150","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",65.0612730395,"GO_Pt25_Baseline",0.0235504468818215
"151","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",321.5592247125,"GO_Pt25_C1D1",0.0641735878381718
"152","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",4.5913682277,"GO_Pt25_C1D1",0.000916299547995033
"153","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",1.8365472911,"GO_Pt25_C1D1",0.000366519819202005
"154","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",0.9182736455,"GO_Pt25_C1D1",0.000183259909591024
"155","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",462.3778616505,"GO_Pt25_C1D3",0.0826959419254055
"156","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",187.7722400941,"GO_Pt25_C2D1",0.0371392573619585
"157","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",116.9442146463,"GO_Pt25_C3D1",0.0362237599421921
"158","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",349.1965195289,"GO_Pt25_Final",0.0749704994404594
"159","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",577.310016098,"GO_Pt29_Baseline",0.121289410034812
"160","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",8.2611022476,"GO_Pt29_Baseline",0.00173560858102031
"161","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",2.7548209366,"GO_Pt29_Baseline",0.00057877153840172
"162","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",0.9182736455,"GO_Pt29_Baseline",0.000192923846126903
"163","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",711.8466126309,"GO_Pt29_C1D1",0.194656558025273
"164","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",62.3229461756,"GO_Pt29_C1D3",0.0250948469556608
"165","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",107.6442877733,"GO_Pt29_C2D1",0.034403795841875
"166","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",25.4957507082,"GO_Pt29_C3D1",0.0122826384123007
"167","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",5.5021150401,"GO_Pt29_C3D1",0.00265065697864288
"168","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",3.5860351074,"GO_Pt29_C3D1",0.00172758092366521
"169","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",2.7548209366,"GO_Pt29_C3D1",0.00132714152417606
"170","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",1.8365472911,"GO_Pt29_C3D1",0.000884761016133429
"171","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",924.5310666836,"GO_Pt30_Baseline",0.247133121452187
"172","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",648.7459266951,"GO_Pt30_C1D1",0.185671187830407
"173","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",702.3876853343,"GO_Pt30_C1D3",0.263078108622117
"174","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",615.286120128,"GO_Pt30_C3D1",0.267181347589633
"175","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",14.6890177665,"GO_Pt30_C3D1",0.0063785472046811
"176","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",8.2644628099,"GO_Pt30_C3D1",0.00358875365203123
"177","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",1.8365472911,"GO_Pt30_C3D1",0.000797500811567321
"178","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",34.7301173848,"GO_Pt31_Baseline",0.0200465352269236
"179","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",56.447879671,"GO_Pt31_C1D1",0.0153442905761024
"180","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",131.073200533,"GO_Pt31_C1D3",0.0271624277298069
"181","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",103.5030769182,"GO_Pt31_C1D7",0.0299372328915041
"182","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",66.0929744508,"GO_Pt31_C2D1",0.0173576544409649
"183","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",117.721813488,"GO_Pt31_C3D1",0.032144433776598
"184","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",5.5096418733,"GO_Pt31_C3D1",0.00150443076844986
"185","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",5.5096418733,"GO_Pt31_C3D1",0.00150443076844986
"186","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",2.7548209366,"GO_Pt31_C3D1",0.000752215384211279
"187","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",45.1922980453,"GO_Pt31_Final",0.0174583668085902
"188","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",79.1333021568,"GO_Pt32_Baseline",0.030273077579698
"189","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",40.6043437205,"GO_Pt32_C1D1",0.0199761877518267
"190","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",402.508042217,"GO_Pt32_C1D3",0.186776640561019
"191","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",1623.5082034115,"GO_Pt32_C1D7",0.809855877526048
"192","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",13.7741046832,"GO_Pt32_C1D7",0.00687094750239534
"193","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",4.5566227384,"GO_Pt32_C1D7",0.00227298371428478
"194","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",0.9182736455,"GO_Pt32_C1D7",0.000458063166803077
"195","UniRef90_A0A0A6ZVN4|unclassified",4.5361416382,"GO_Pt32_C1D7",0.00226276711091911
"196","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",97.940466159,"GO_Pt32_C2D1",0.0440522589307431
"197","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",7.3461891644,"GO_Pt32_C2D1",0.00330421367097639
"198","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",1.8365472911,"GO_Pt32_C2D1",0.000826053417744097
"199","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",1.8365472911,"GO_Pt32_C2D1",0.000826053417744097
"200","UniRef90_A0A0A6ZVN4|unclassified",2.3024225435,"GO_Pt32_C2D1",0.00103559762406667
"201","UniRef90_D4MUM4|unclassified",93.8209687305,"GO_Pt33_Baseline",0.0292489533026807
"202","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",16.5289256198,"GO_Pt33_Baseline",0.00515293947758875
"203","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",13.7741046832,"GO_Pt33_Baseline",0.00429411623133435
"204","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",24.9484759735,"GO_Pt33_Baseline",0.00777775819836245
"205","UniRef90_D4MUM4|unclassified",197.8266643075,"GO_Pt33_C1D1",0.0514175880642822
"206","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",61.3957059523,"GO_Pt33_C1D1",0.0159575006161163
"207","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",39.4857667585,"GO_Pt33_C1D1",0.0102628374021161
"208","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",20.202020202,"GO_Pt33_C1D1",0.00525075401968127
"209","UniRef90_D4MUM4|unclassified",68.6886732003,"GO_Pt33_C1D3",0.0426566957692599
"210","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",9.1643709826,"GO_Pt33_C1D3",0.00569121176327648
"211","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",4.5913682277,"GO_Pt33_C1D3",0.00285130849860104
"212","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",11.2781954887,"GO_Pt33_C1D3",0.00700392846990694
"213","UniRef90_D4MUM4|unclassified",72.5023414308,"GO_Pt33_C1D7",0.0362918549990138
"214","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",27.5482093664,"GO_Pt33_C1D7",0.0137895632068945
"215","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",12.8558310376,"GO_Pt33_C1D7",0.00643512949652408
"216","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",32.5814536341,"GO_Pt33_C1D7",0.0163090097176301
"217","UniRef90_D4MUM4|unclassified",44.0519013392,"GO_Pt33_C2D1",0.0175849073649786
"218","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",27.4835409089,"GO_Pt33_C2D1",0.0109710479287427
"219","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",11.9375573921,"GO_Pt33_C2D1",0.00476530716092824
"220","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",25.0056960583,"GO_Pt33_C2D1",0.00998192666863903
"221","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",283.4785772056,"GO_Pt33_Final",0.117525971041579
"222","UniRef90_P76440|unclassified",8.9837578254,"GO_Pt33_Final",0.00372453140001037
